_id	model.x	model.y	weighted	first-order weighting	context window size	second-order window size	second-order scheme	MDS stress	Same Class Path ratio
air.n.20-20.weightsBNC-4-4pospmi.10-10.pospmi	1.799812602	2.326248003	yes	BNC-4-4pospmi	L20-R20	L10-R10	pospmi	22.6	0.21318021
air.n.20-20.weightsBNC-4-4pospmi.10-10.tScore	0.323631076	0.477281243	yes	BNC-4-4pospmi	L20-R20	L10-R10	tScore	23.95	0.457326112
air.n.20-20.weightsBNC-4-4pospmi.2-2.diceM	4.140510967	1.564481023	yes	BNC-4-4pospmi	L20-R20	L2-R2	diceM	25.34	0.258717183
air.n.20-20.weightsBNC-4-4pospmi.2-2.LLR	-4.155086326	2.876634886	yes	BNC-4-4pospmi	L20-R20	L2-R2	LLR	30.21	0.413276725
air.n.20-20.weightsBNC-4-4pospmi.2-2.pospmi	3.674513304	2.239804762	yes	BNC-4-4pospmi	L20-R20	L2-R2	pospmi	25.07	0.223943929
air.n.20-20.weightsBNC-4-4pospmi.2-2.tScore	0.689122431	0.870445009	yes	BNC-4-4pospmi	L20-R20	L2-R2	tScore	27.08	0.372348077
air.n.20-20.weightsBNC-4-4pospmi.4-4.diceM	3.629076684	1.308220102	yes	BNC-4-4pospmi	L20-R20	L4-R4	diceM	22.12	0.208119834
air.n.20-20.weightsBNC-4-4pospmi.4-4.LLR	-0.971296841	0.824224768	yes	BNC-4-4pospmi	L20-R20	L4-R4	LLR	27.45	0.490660737
air.n.20-20.weightsBNC-4-4pospmi.4-4.pospmi	1.72701534	1.144072393	yes	BNC-4-4pospmi	L20-R20	L4-R4	pospmi	24.09	0.214018549
air.n.20-20.weightsBNC-4-4pospmi.4-4.tScore	0.722462445	0.896048948	yes	BNC-4-4pospmi	L20-R20	L4-R4	tScore	25.12	0.449702427
air.n.20-20.weightsBNC-4-4pospmi.7-7.diceM	4.712990707	2.415561197	yes	BNC-4-4pospmi	L20-R20	L7-R7	diceM	20.4	0.20349577
air.n.20-20.weightsBNC-4-4pospmi.7-7.LLR	-0.854886629	0.664452015	yes	BNC-4-4pospmi	L20-R20	L7-R7	LLR	25.52	0.458745407
air.n.20-20.weightsBNC-4-4pospmi.7-7.pospmi	2.080750609	1.613776297	yes	BNC-4-4pospmi	L20-R20	L7-R7	pospmi	23	0.212497803
air.n.20-20.weightsBNC-4-4pospmi.7-7.tScore	0.510027759	1.047345305	yes	BNC-4-4pospmi	L20-R20	L7-R7	tScore	23.21	0.454539743
air.n.20-20.weightsBNC-7-7pospmi.10-10.diceM	5.063822576	3.383099463	yes	BNC-7-7pospmi	L20-R20	L10-R10	diceM	15.74	0.302547434
air.n.20-20.weightsBNC-7-7pospmi.10-10.LLR	-1.062082302	0.714915923	yes	BNC-7-7pospmi	L20-R20	L10-R10	LLR	24.52	0.345971815
air.n.20-20.weightsBNC-7-7pospmi.10-10.pospmi	1.904894719	2.268416841	yes	BNC-7-7pospmi	L20-R20	L10-R10	pospmi	22.26	0.296780522
air.n.20-20.weightsBNC-7-7pospmi.10-10.tScore	0.6912532	0.618329313	yes	BNC-7-7pospmi	L20-R20	L10-R10	tScore	22.53	0.259943821
air.n.20-20.weightsBNC-7-7pospmi.2-2.diceM	4.516629097	2.213451472	yes	BNC-7-7pospmi	L20-R20	L2-R2	diceM	25.74	0.37922743
air.n.20-20.weightsBNC-7-7pospmi.2-2.LLR	-3.502524594	2.203251902	yes	BNC-7-7pospmi	L20-R20	L2-R2	LLR	30.46	0.345748609
air.n.20-20.weightsBNC-7-7pospmi.2-2.pospmi	2.343690537	2.39828812	yes	BNC-7-7pospmi	L20-R20	L2-R2	pospmi	24.7	0.293625544
air.n.20-20.weightsBNC-7-7pospmi.2-2.tScore	0.969793939	1.826784835	yes	BNC-7-7pospmi	L20-R20	L2-R2	tScore	27.4	0.329136471
air.n.20-20.weightsBNC-7-7pospmi.4-4.diceM	2.895562882	1.656428974	yes	BNC-7-7pospmi	L20-R20	L4-R4	diceM	21.16	0.354659931
air.n.20-20.weightsBNC-7-7pospmi.4-4.LLR	-1.552147246	0.997790689	yes	BNC-7-7pospmi	L20-R20	L4-R4	LLR	27.3	0.32252729
air.n.20-20.weightsBNC-7-7pospmi.4-4.pospmi	3.295498667	1.891337918	yes	BNC-7-7pospmi	L20-R20	L4-R4	pospmi	23.32	0.296019869
air.n.20-20.weightsBNC-7-7pospmi.4-4.tScore	0.736051564	1.598802886	yes	BNC-7-7pospmi	L20-R20	L4-R4	tScore	24.81	0.285851954
air.n.20-20.weightsBNC-7-7pospmi.7-7.diceM	4.209814396	2.443406553	yes	BNC-7-7pospmi	L20-R20	L7-R7	diceM	19.32	0.345016927
air.n.20-20.weightsBNC-7-7pospmi.7-7.LLR	-1.587060874	2.15964353	yes	BNC-7-7pospmi	L20-R20	L7-R7	LLR	25.49	0.335990123
air.n.20-20.weightsBNC-7-7pospmi.7-7.pospmi	2.630002778	1.97383849	yes	BNC-7-7pospmi	L20-R20	L7-R7	pospmi	22.42	0.294748859
air.n.20-20.weightsBNC-7-7pospmi.7-7.tScore	1.478614656	0.633358083	yes	BNC-7-7pospmi	L20-R20	L7-R7	tScore	23.27	0.258574113
air.n.40-40.weightsBNC-2-2pospmi.10-10.diceM	6.795828119	-2.048352521	yes	BNC-2-2pospmi	L40-R40	L10-R10	diceM	21.17	0.261797758
air.n.40-40.weightsBNC-2-2pospmi.10-10.LLR	3.588654557	-2.332267475	yes	BNC-2-2pospmi	L40-R40	L10-R10	LLR	25.4	0.343534636
air.n.40-40.weightsBNC-2-2pospmi.10-10.pospmi	4.033764043	0.162432619	yes	BNC-2-2pospmi	L40-R40	L10-R10	pospmi	21.69	0.217064322
air.n.40-40.weightsBNC-2-2pospmi.10-10.tScore	2.945422075	-1.725003232	yes	BNC-2-2pospmi	L40-R40	L10-R10	tScore	23.79	0.41257228
air.n.40-40.weightsBNC-2-2pospmi.2-2.diceM	6.034679575	0.455782236	yes	BNC-2-2pospmi	L40-R40	L2-R2	diceM	25.16	0.299734666
air.n.40-40.weightsBNC-2-2pospmi.2-2.LLR	5.783592962	-2.8832255	yes	BNC-2-2pospmi	L40-R40	L2-R2	LLR	29.29	0.399329698
air.n.40-40.weightsBNC-2-2pospmi.2-2.pospmi	4.504732085	-0.353114263	yes	BNC-2-2pospmi	L40-R40	L2-R2	pospmi	24.14	0.203055544
air.n.40-40.weightsBNC-2-2pospmi.2-2.tScore	3.924429193	-0.933582716	yes	BNC-2-2pospmi	L40-R40	L2-R2	tScore	26.73	0.467031767
air.n.40-40.weightsBNC-2-2pospmi.4-4.diceM	4.919236588	-0.659371908	yes	BNC-2-2pospmi	L40-R40	L4-R4	diceM	23.91	0.242529008
air.n.40-40.weightsBNC-2-2pospmi.4-4.LLR	6.727028856	-5.735801623	yes	BNC-2-2pospmi	L40-R40	L4-R4	LLR	28.57	0.391422379
air.n.40-40.weightsBNC-2-2pospmi.4-4.pospmi	4.453337329	-0.122117528	yes	BNC-2-2pospmi	L40-R40	L4-R4	pospmi	23.59	0.222559403
air.n.40-40.weightsBNC-2-2pospmi.4-4.tScore	3.255519992	-0.795250576	yes	BNC-2-2pospmi	L40-R40	L4-R4	tScore	25.46	0.437255452
air.n.40-40.weightsBNC-2-2pospmi.7-7.diceM	3.682044677	-1.687092486	yes	BNC-2-2pospmi	L40-R40	L7-R7	diceM	21.65	0.255485245
